"","gene2","cluster","avg_log2FC","gene"
"29161","SMAD9","nIN5",-2.618312749,"ENSG00000120693"
"29162","SMARCA2","nIN5",-1.304868198,"ENSG00000080503"
"29164","SMC1A","nIN5",-1.177710368,"ENSG00000072501"
"29168","SMG1P2","nIN5",-2.122749768,NA
"29170","SMS","nIN5",-2.342303752,"ENSG00000102172"
"29173","SNHG1","nIN5",-2.359436713,"ENSG00000255717"
"29177","SNRPA1","nIN5",-2.019645499,"ENSG00000131876"
"29178","SNRPB","nIN5",-1.26947425,"ENSG00000125835"
"29181","SNRPGP10","nIN5",-1.684839987,NA
"29184","SNX5","nIN5",-1.20442404,"ENSG00000089006"
"29186","SORBS1","nIN5",-3.03756614,"ENSG00000095637"
"29188","SORL1","nIN5",-4.979848773,"ENSG00000137642"
"29192","SOX6","nIN5",1.660790402,"ENSG00000110693"
"29198","SPIRE1","nIN5",-1.118269134,"ENSG00000134278"
"29199","SPTAN1","nIN5",-1.46071575,"ENSG00000197694"
"29200","SQLE","nIN5",-2.515512982,"ENSG00000104549"
"29205","SRGAP3","nIN5",-1.202419663,"ENSG00000196220"
"29217","SSH2","nIN5",-1.676811506,"ENSG00000141298"
"29219","SSU72","nIN5",-1.237723968,"ENSG00000160075"
"29220","ST8SIA1","nIN5",-2.298818342,"ENSG00000111728"
"29221","ST8SIA4","nIN5",1.526828747,"ENSG00000113532"
"29227","STMN4","nIN5",-2.809041081,"ENSG00000015592"
"29231","STXBP4","nIN5",1.699500943,"ENSG00000166263"
"29232","STXBP5","nIN5",-1.634331441,"ENSG00000164506"
"29233","STXBP5L","nIN5",1.436054011,"ENSG00000145087"
"29234","SUCLA2","nIN5",-1.04645667,"ENSG00000136143"
"29237","SUMO1P3","nIN5",-1.05634345,NA
"29240","SUN1","nIN5",-1.106320837,"ENSG00000164828"
"29242","SUZ12","nIN5",-1.002065202,"ENSG00000178691"
"29244","SYNRG","nIN5",1.053142769,"ENSG00000275066"
"29247","SYT4","nIN5",-1.845248572,"ENSG00000132872"
"29248","TAF13","nIN5",-1.428861702,"ENSG00000197780"
"29249","TAF1D","nIN5",-1.412312322,"ENSG00000166012"
"29251","TAOK3","nIN5",-1.622577126,"ENSG00000135090"
"29252","TARBP1","nIN5",-1.420427752,"ENSG00000059588"
"29255","TBR1","nIN5",-4.313533299,"ENSG00000136535"
"29257","TCEA1","nIN5",-1.938697323,"ENSG00000187735"
"29258","TCEA1P2","nIN5",-1.528298126,NA
"29259","TCEAL2","nIN5",-1.481955836,"ENSG00000184905"
"29260","TCEAL8","nIN5",-1.108449857,"ENSG00000180964"
"29268","TCTN2","nIN5",-1.848481014,"ENSG00000168778"
"29269","TENM4","nIN5",-4.97274771,"ENSG00000149256"
"29271","THAP5","nIN5",-1.025010836,"ENSG00000177683"
"29273","THSD7A","nIN5",-3.485652992,"ENSG00000005108"
"29275","THYN1","nIN5",-1.179225941,"ENSG00000151500"
"29276","TIAM1","nIN5",1.506639156,"ENSG00000156299"
"29278","TIMM44","nIN5",-1.676579127,"ENSG00000104980"
"29279","TIMP2","nIN5",-2.38606279,"ENSG00000035862"
"29280","TIPRL","nIN5",-1.05331885,"ENSG00000143155"
"29283","TM2D3","nIN5",-1.031761349,"ENSG00000184277"
"29284","TMCO1","nIN5",-1.461890228,"ENSG00000143183"
"29287","TMEM123","nIN5",1.467367998,"ENSG00000152558"
"29289","TMEM237","nIN5",-2.194126153,"ENSG00000155755"
"29292","TMEM35","nIN5",-3.582896573,"ENSG00000126950"
"29293","TMEM41B","nIN5",-2.02564427,"ENSG00000166471"
"29294","TMEM50A","nIN5",-1.290516057,"ENSG00000183726"
"29296","TMF1","nIN5",-2.024550244,"ENSG00000144747"
"29301","TNIK","nIN5",-4.689982886,"ENSG00000154310"
"29311","TPM4","nIN5",-1.110168026,"ENSG00000167460"
"29312","TPP2","nIN5",-1.743350201,"ENSG00000134900"
"29313","TRAK1","nIN5",-1.93943612,"ENSG00000182606"
"29319","TRIM36.IT1","nIN5",1.237030653,NA
"29320","TRIM9","nIN5",-4.791812164,"ENSG00000100505"
"29323","TRMT10C","nIN5",-1.56601443,"ENSG00000174173"
"29325","TRPM7","nIN5",-3.058488964,"ENSG00000092439"
"29327","TSPAN7","nIN5",-1.62570499,"ENSG00000156298"
"29328","TSPYL4","nIN5",-2.984295517,"ENSG00000187189"
"29330","TTC28","nIN5",-1.304837199,"ENSG00000100154"
"29331","TTC3P1","nIN5",-2.831554298,NA
"29332","TTTY15","nIN5",1.331778275,"ENSG00000114374"
"29336","TUBB4B","nIN5",-1.43232498,"ENSG00000188229"
"29344","UBE2Q2P2","nIN5",-1.627812774,"ENSG00000282084"
"29345","UBE3A","nIN5",-1.521994166,"ENSG00000114062"
"29346","UBE4A","nIN5",-1.030596855,"ENSG00000110344"
"29347","UBR1","nIN5",-1.55759522,"ENSG00000159459"
"29348","UBR3","nIN5",-1.187137491,"ENSG00000144357"
"29351","UNC5D","nIN5",-5.38212485,"ENSG00000156687"
"29352","UPF2","nIN5",-1.703180325,"ENSG00000151461"
"29358","USP31","nIN5",-1.026941074,"ENSG00000103404"
"29360","USP34","nIN5",-1.12373629,"ENSG00000115464"
"29362","USP8","nIN5",-1.451809449,"ENSG00000138592"
"29363","USP9Y","nIN5",1.472975512,"ENSG00000114374"
"29364","VAMP2","nIN5",-1.11640897,"ENSG00000220205"
"29367","VCAN","nIN5",-1.48318456,"ENSG00000038427"
"29368","VCP","nIN5",-1.224163169,"ENSG00000165280"
"29371","VIM","nIN5",-4.013891343,"ENSG00000026025"
"29372","VPS13D","nIN5",-1.924711826,"ENSG00000048707"
"29374","VPS36","nIN5",-1.363416671,"ENSG00000136100"
"29379","WDR36","nIN5",-1.540245879,"ENSG00000134987"
"29380","WDR43","nIN5",-1.102981334,"ENSG00000163811"
"29382","WDR83OS","nIN5",-1.335370805,"ENSG00000105583"
"29383","WEE1","nIN5",-1.322571195,"ENSG00000166483"
"29386","WRB","nIN5",-1.465843198,"ENSG00000182093"
"29387","WWTR1","nIN5",-1.19480488,"ENSG00000018408"
"29388","XIST","nIN5",-3.570226397,"ENSG00000229807"
"29395","YTHDC2","nIN5",-2.119500719,"ENSG00000047188"
"29399","ZAK","nIN5",1.360845969,"ENSG00000091436"
"29400","ZBTB18","nIN5",-1.979801267,"ENSG00000179456"
"29401","ZBTB37","nIN5",-1.202253352,"ENSG00000185278"
"29403","ZBTB44","nIN5",-3.89564533,"ENSG00000196323"
"29406","ZC3H15","nIN5",-1.192789257,"ENSG00000065548"
"29407","ZC3H7A","nIN5",-1.263436681,"ENSG00000122299"
"29414","ZFC3H1","nIN5",-1.406648331,"ENSG00000133858"
"29416","ZFP36L1","nIN5",-1.551885068,"ENSG00000185650"
"29424","ZNF445","nIN5",-1.277559717,"ENSG00000185219"
"29428","ZNF536","nIN5",1.825107219,"ENSG00000198597"
"29432","ZNF721","nIN5",-1.841484814,"ENSG00000182903"
"29437","ZSWIM5","nIN5",2.459605706,"ENSG00000162415"
"29439","AFMID","nIN5",-2.31946068,"ENSG00000183077"
"29440","NEUROD2","nIN5",-2.695746736,"ENSG00000171532"
"29441","MPPED1","nIN5",-3.203617176,"ENSG00000186732"
"29442","SLC22A23","nIN5",-3.5253652,"ENSG00000137266"
"29443","LHX2","nIN5",-3.703626354,"ENSG00000106689"
"29444","LPPR1","nIN5",-3.786379567,"ENSG00000148123"
"29445","NFASC","nIN5",-4.331922388,"ENSG00000163531"
"29446","EML1","nIN5",-4.39824963,"ENSG00000066629"
"29447","PLAGL1","nIN5",-4.414016024,"ENSG00000118495"
"29448","CACNA2D1","nIN5",-4.531495319,"ENSG00000153956"
"29449","KIAA1456","nIN5",-4.741930513,"ENSG00000284872"
"29450","SEZ6L","nIN5",-4.74705849,"ENSG00000100095"
"29451","FAT3","nIN5",-4.808762634,"ENSG00000165323"
"29452","NTM","nIN5",-4.949243685,"ENSG00000182667"
"29453","THBS1","nIN5",-4.959864719,"ENSG00000137801"
"29454","NTRK3","nIN5",-5.100490105,"ENSG00000140538"
"29455","EFNB2","nIN5",-5.139847303,"ENSG00000125266"
"29456","SEMA3C","nIN5",-5.220466511,"ENSG00000075223"
"29457","CHL1","nIN5",-5.379440401,"ENSG00000134121"
"29458","PPP2R2B","nIN5",-5.417662662,"ENSG00000156475"
"29459","FABP7","nIN5",-5.744378251,"ENSG00000164434"
"29460","SLA","nIN5",-5.807489702,"ENSG00000155926"
"29461","ZFHX4","nIN5",-5.819656313,"ENSG00000091656"
"29462","FGF12","nIN5",-5.855717118,"ENSG00000114279"
"29463","GRIA2","nIN5",-6.186605361,"ENSG00000120251"
"29464","MARCH6","Endothelial",-1.147372513,"ENSG00000145495"
"29466","JUN","Endothelial",1.560498576,"ENSG00000177606"
"29467","SEPT8","Endothelial",1.982231848,"ENSG00000164402"
"29508","A2M","Endothelial",3.541416079,"ENSG00000175899"
"29509","AAGAB","Endothelial",2.051219805,"ENSG00000103591"
"29513","ABCB1","Endothelial",5.398903555,"ENSG00000085563"
"29516","ABCD4","Endothelial",-1.029448343,"ENSG00000119688"
"29517","ABCF2","Endothelial",-1.631477088,"ENSG00000033050"
"29518","ABCG1","Endothelial",1.998050106,"ENSG00000160179"
"29519","ABCG2","Endothelial",5.602686167,"ENSG00000118777"
"29521","ABLIM1","Endothelial",3.407252459,"ENSG00000099204"
"29522","ABLIM3","Endothelial",2.880577313,"ENSG00000173210"
"29526","AC006129.1","Endothelial",3.042518302,NA
"29527","AC006129.2","Endothelial",2.210778701,NA
"29529","AC007319.1","Endothelial",3.050869871,NA
"29536","AC093673.5","Endothelial",1.168141934,NA
"29538","AC106788.1","Endothelial",1.549366734,NA
"29540","AC116366.6","Endothelial",2.245074798,NA
"29543","ACE","Endothelial",2.215020684,"ENSG00000159640"
"29544","ACKR3","Endothelial",1.929421374,"ENSG00000144476"
"29548","ACTN1","Endothelial",1.407426614,"ENSG00000072110"
"29549","ACTN4","Endothelial",2.081118537,"ENSG00000130402"
"29553","ACVR1","Endothelial",2.000528449,"ENSG00000115170"
"29554","ACVRL1","Endothelial",3.302769257,"ENSG00000139567"
"29555","ADAM10","Endothelial",1.055437451,"ENSG00000137845"
"29557","ADAMTS1","Endothelial",2.034378627,"ENSG00000154734"
"29558","ADAMTS4","Endothelial",1.215942664,"ENSG00000158859"
"29559","ADAMTS9","Endothelial",3.087104653,"ENSG00000163638"
"29561","ADCY10P1","Endothelial",-1.471607607,"ENSG00000161912"
"29562","ADCY4","Endothelial",3.617922455,"ENSG00000129467"
"29563","ADD2","Endothelial",-4.488913356,"ENSG00000075340"
"29564","ADD3","Endothelial",1.541201204,"ENSG00000148700"
"29565","ADIPOR1","Endothelial",-1.096242958,"ENSG00000159346"
"29566","ADIPOR2","Endothelial",1.711266738,"ENSG00000006831"
"29567","ADM","Endothelial",4.102985353,"ENSG00000148926"
"29568","ADRB2","Endothelial",1.990715573,"ENSG00000169252"
"29570","AFAP1L1","Endothelial",4.317606094,"ENSG00000157510"
"29571","AFAP1L2","Endothelial",3.385093934,"ENSG00000169129"
"29572","AFF1","Endothelial",1.680888367,"ENSG00000172493"
"29573","AFMID","Endothelial",1.180996588,"ENSG00000183077"
"29574","AGFG1","Endothelial",1.56376485,"ENSG00000173744"
"29575","AGO3","Endothelial",-1.085743656,"ENSG00000126070"
"29577","AGTRAP","Endothelial",1.749017861,"ENSG00000177674"
"29579","AHNAK","Endothelial",2.84153769,"ENSG00000124942"
"29580","AHR","Endothelial",3.083180891,"ENSG00000106546"
"29587","AL049871.1","Endothelial",1.907093222,NA
"29588","AL353644.10","Endothelial",1.167781893,NA
"29590","ALDH9A1","Endothelial",1.399417488,"ENSG00000143149"
"29594","ALKBH5","Endothelial",1.024246431,"ENSG00000091542"
"29595","ALKBH7","Endothelial",-1.048476736,"ENSG00000125652"
"29596","ALPK3","Endothelial",4.041958637,"ENSG00000136383"
"29597","AMER2","Endothelial",-4.109616524,"ENSG00000165566"
"29601","ANAPC5","Endothelial",-1.17132313,"ENSG00000089053"
"29602","ANGPT2","Endothelial",2.561185532,"ENSG00000091879"
"29603","ANK2","Endothelial",-3.040324846,"ENSG00000145362"
"29604","ANK3","Endothelial",-4.138158673,"ENSG00000151150"
"29607","ANKRD13C","Endothelial",-2.739422602,"ENSG00000118454"
"29608","ANKRD36","Endothelial",-1.219870011,"ENSG00000135976"
"29609","ANKRD37","Endothelial",1.268596284,"ENSG00000186352"
"29611","ANKRD52","Endothelial",-1.548054845,"ENSG00000139645"
"29612","ANKS1A","Endothelial",1.46302733,"ENSG00000064999"
"29613","ANKS1B","Endothelial",-4.345647827,"ENSG00000185046"
"29614","ANO2","Endothelial",4.095054761,"ENSG00000047617"
"29615","ANO6","Endothelial",2.020263902,"ENSG00000177119"
"29616","ANTXR2","Endothelial",1.434710024,"ENSG00000163297"
"29617","ANXA1","Endothelial",3.323615108,"ENSG00000135046"
"29618","ANXA11","Endothelial",1.840569517,"ENSG00000122359"
"29619","ANXA2","Endothelial",3.042666097,"ENSG00000182718"
"29620","ANXA2P2","Endothelial",2.868587849,NA
"29621","ANXA2R","Endothelial",2.665475045,"ENSG00000177721"
"29622","ANXA4","Endothelial",1.821503092,"ENSG00000196975"
"29623","ANXA5","Endothelial",1.755824773,"ENSG00000164111"
"29624","ANXA7","Endothelial",1.54778185,"ENSG00000138279"
"29629","AP3B1","Endothelial",1.815766156,"ENSG00000132842"
"29631","APC","Endothelial",-1.789998288,"ENSG00000134982"
"29632","APCDD1","Endothelial",3.468712749,"ENSG00000154856"
"29633","APLN","Endothelial",4.241325513,"ENSG00000171388"
"29634","APLNR","Endothelial",6.311729788,"ENSG00000134817"
"29635","APLP1","Endothelial",-3.260585727,"ENSG00000105290"
"29636","APLP2","Endothelial",1.003319789,"ENSG00000084234"
"29637","APOL2","Endothelial",2.491364796,"ENSG00000128335"
"29638","APOL4","Endothelial",1.214568393,"ENSG00000100336"
"29639","APOLD1","Endothelial",4.683072004,"ENSG00000178878"
"29649","ARFIP1","Endothelial",1.317242562,"ENSG00000164144"
"29650","ARHGAP18","Endothelial",2.17885591,"ENSG00000146376"
"29651","ARHGAP26","Endothelial",2.042626814,"ENSG00000145819"
"29652","ARHGAP27","Endothelial",1.985453177,"ENSG00000159314"
"29653","ARHGAP28","Endothelial",1.11398965,"ENSG00000088756"
"29654","ARHGAP29","Endothelial",4.402853622,"ENSG00000137962"
"29655","ARHGAP31","Endothelial",2.910866509,"ENSG00000031081"
"29656","ARHGDIB","Endothelial",2.588647375,"ENSG00000111348"
"29657","ARHGEF10","Endothelial",1.392922759,"ENSG00000104728"
"29658","ARHGEF12","Endothelial",1.098112157,"ENSG00000196914"
"29659","ARHGEF2","Endothelial",-1.867729955,"ENSG00000116584"
"29660","ARHGEF28","Endothelial",2.65309604,"ENSG00000214944"
"29662","ARHGEF6","Endothelial",1.212065157,"ENSG00000129675"
"29664","ARID1B","Endothelial",-1.409989811,"ENSG00000049618"
"29669","ARL2","Endothelial",1.862157381,"ENSG00000213465"
"29670","ARL4A","Endothelial",2.324298035,"ENSG00000122644"
"29671","ARL4C","Endothelial",-4.817932578,"ENSG00000188042"
"29674","ARMCX6","Endothelial",1.683538287,"ENSG00000198960"
"29676","ARPC1B","Endothelial",1.844728553,"ENSG00000130429"
"29678","ARPC3","Endothelial",1.158668086,"ENSG00000111229"
"29681","ARSG","Endothelial",1.945175919,"ENSG00000141337"
"29682","ASAH1","Endothelial",1.069196382,"ENSG00000104763"
"29684","ASNS","Endothelial",-3.915741173,"ENSG00000070669"
"29685","ASNSD1","Endothelial",-1.849790147,"ENSG00000138381"
"29689","ATAT1","Endothelial",-2.094484296,"ENSG00000137343"
"29690","ATF3","Endothelial",1.643102148,"ENSG00000162772"
"29698","ATL3","Endothelial",1.282517595,"ENSG00000184743"
"29700","ATP10A","Endothelial",3.379405967,"ENSG00000206190"
"29703","ATP1B1","Endothelial",-2.07886877,"ENSG00000143153"
"29707","ATP6V0E1","Endothelial",1.269870524,"ENSG00000113732"
"29708","ATP6V1E1","Endothelial",1.017448548,"ENSG00000131100"
"29709","ATP8A1","Endothelial",-2.135842042,"ENSG00000124406"
"29710","ATP8B1","Endothelial",2.029021756,"ENSG00000081923"
"29712","ATRAID","Endothelial",1.45211193,"ENSG00000138085"
"29716","AURKAIP1","Endothelial",1.720753509,"ENSG00000175756"
"29717","AXIN2","Endothelial",2.593246829,"ENSG00000168646"
"29718","B2M","Endothelial",3.266522863,"ENSG00000166710"
"29720","B4GALT1","Endothelial",1.729895195,"ENSG00000086062"
"29721","BACE2","Endothelial",2.413273365,"ENSG00000182240"
"29723","BAG3","Endothelial",1.886503096,"ENSG00000151929"
"29724","BAI3","Endothelial",-4.037305661,"ENSG00000135298"
"29725","BAMBI","Endothelial",2.529578842,"ENSG00000095739"
"29726","BASP1","Endothelial",-2.164597239,"ENSG00000176788"
"29730","BCAP31","Endothelial",2.085962774,"ENSG00000185825"
"29731","BCAR3","Endothelial",1.631113682,"ENSG00000137936"
"29734","BCL10","Endothelial",1.07098229,"ENSG00000142867"
"29735","BCL11A","Endothelial",-4.755906626,"ENSG00000119866"
"29736","BCL2L11","Endothelial",1.863993247,"ENSG00000153094"
"29737","BCL6B","Endothelial",5.221378697,"ENSG00000161940"
"29738","BCL7A","Endothelial",-2.490434363,"ENSG00000110987"
"29740","BDH2","Endothelial",1.71502979,"ENSG00000164039"
"29743","BEX1","Endothelial",-4.981180457,"ENSG00000133169"
"29744","BEX2","Endothelial",-4.103099292,"ENSG00000133134"
"29745","BFAR","Endothelial",1.225803617,"ENSG00000103429"
"29746","BGN","Endothelial",2.695223937,"ENSG00000182492"
"29747","BHLHE40","Endothelial",3.392016652,"ENSG00000134107"
"29749","BLOC1S3","Endothelial",1.094032256,"ENSG00000189114"
"29750","BMF","Endothelial",1.474360543,"ENSG00000104081"
"29751","BMP2","Endothelial",1.693318013,"ENSG00000125845"
"29754","BOLA3","Endothelial",1.357352476,"ENSG00000163170"
"29756","BPHL","Endothelial",-2.270405245,"ENSG00000137274"
"29757","BRE","Endothelial",1.272101649,"ENSG00000158019"
"29760","BSG","Endothelial",1.766611564,"ENSG00000172270"
"29761","BST2","Endothelial",3.41520377,"ENSG00000130303"
"29763","BTBD19","Endothelial",2.425484445,"ENSG00000222009"
"29767","BTG2","Endothelial",1.611279507,"ENSG00000159388"
"29768","BTN3A1","Endothelial",-1.27452563,"ENSG00000026950"
"29770","BTNL9","Endothelial",2.528997786,"ENSG00000165810"
"29772","C10orf10","Endothelial",1.915435176,NA
"29776","C14orf119","Endothelial",1.586082238,"ENSG00000179933"
"29777","C14orf132","Endothelial",-1.384381708,"ENSG00000227051"
"29778","C14orf159","Endothelial",1.772975583,NA
"29779","C14orf23","Endothelial",-4.880824428,NA
"29781","C14orf37","Endothelial",-3.433695289,NA
"29783","C17orf67","Endothelial",2.129749283,"ENSG00000214226"
"29785","C18orf21","Endothelial",1.089493779,"ENSG00000141428"
"29788","C19orf66","Endothelial",1.552835925,NA
"29789","C1GALT1C1","Endothelial",1.328966353,"ENSG00000171155"
"29790","C1orf115","Endothelial",3.242757475,"ENSG00000162817"
"29791","C1orf198","Endothelial",1.211950449,"ENSG00000119280"
"29792","C1orf54","Endothelial",4.242915397,"ENSG00000118292"
"29793","C1orf61","Endothelial",-3.417752507,NA
"29794","C1orf64","Endothelial",3.701513204,NA
"29798","C21orf91","Endothelial",1.336307229,"ENSG00000154642"
"29799","C2CD2","Endothelial",2.767795647,"ENSG00000157617"
"29800","C2orf69","Endothelial",-1.395955237,"ENSG00000178074"
"29801","C3orf14","Endothelial",-2.21307548,"ENSG00000114405"
"29803","C3orf70","Endothelial",-2.765813787,"ENSG00000187068"
"29804","C4orf19","Endothelial",2.018220503,"ENSG00000154274"
"29806","C4orf32","Endothelial",2.306978628,NA
"29808","C5orf45","Endothelial",1.533872838,NA
"29811","C8orf4","Endothelial",1.044098591,NA
"29812","C9orf3","Endothelial",2.334857137,NA
"29813","CA2","Endothelial",4.200389623,"ENSG00000104267"
"29814","CACNA2D1","Endothelial",-2.865217288,"ENSG00000153956"
"29815","CADM1","Endothelial",-4.323036263,"ENSG00000182985"
"29816","CADPS","Endothelial",-3.580498054,"ENSG00000163618"
"29817","CADPS2","Endothelial",3.713381233,"ENSG00000081803"
"29818","CALCOCO2","Endothelial",2.098630657,"ENSG00000136436"
"29819","CALCRL","Endothelial",4.085453157,"ENSG00000064989"
"29820","CALD1","Endothelial",1.617559084,"ENSG00000122786"
"29822","CALM2P2","Endothelial",1.209021881,NA
"29823","CALR","Endothelial",1.189701302,"ENSG00000179218"
"29826","CAP2","Endothelial",-4.632392462,"ENSG00000112186"
"29828","CAPNS1","Endothelial",1.159661122,"ENSG00000126247"
"29829","CARD10","Endothelial",2.254949505,"ENSG00000100065"
"29830","CARD6","Endothelial",2.777642427,"ENSG00000132357"
"29831","CARD8","Endothelial",1.598870784,"ENSG00000105483"
"29832","CASP10","Endothelial",4.292956254,"ENSG00000003400"
"29834","CASP4","Endothelial",4.385435297,"ENSG00000196954"
"29835","CASP7","Endothelial",3.01608273,"ENSG00000165806"
"29836","CAST","Endothelial",2.304812133,"ENSG00000153113"
"29837","CAV1","Endothelial",4.802335195,"ENSG00000105974"
"29838","CAV2","Endothelial",4.325143666,"ENSG00000105971"
"29839","CCDC112","Endothelial",-2.756125493,"ENSG00000164221"
"29840","CCDC130","Endothelial",-1.438508996,"ENSG00000104957"
"29841","CCDC141","Endothelial",3.819516999,"ENSG00000163492"
"29842","CCDC186","Endothelial",1.126824068,"ENSG00000165813"
"29845","CCDC68","Endothelial",2.952355294,"ENSG00000166510"
"29847","CCDC85B","Endothelial",1.007624682,"ENSG00000175602"
"29848","CCDC88A","Endothelial",-1.898069955,"ENSG00000115355"
"29849","CCL2","Endothelial",2.690413679,"ENSG00000108691"
"29851","CCND2","Endothelial",-1.944664919,"ENSG00000118971"
"29853","CCNK","Endothelial",1.375657183,"ENSG00000090061"
"29855","CCNT1","Endothelial",1.641796356,"ENSG00000129315"
"29856","CCNY","Endothelial",1.346610544,"ENSG00000108100"
"29857","CCNYL1","Endothelial",1.573375293,"ENSG00000163249"
"29858","CCRN4L","Endothelial",-1.042459014,"ENSG00000151014"
"29860","CD109","Endothelial",3.447051149,"ENSG00000156535"
"29862","CD164","Endothelial",1.073866934,"ENSG00000135535"
"29864","CD24","Endothelial",-2.916573434,"ENSG00000272398"
"29865","CD24P4","Endothelial",-1.338528674,NA
"29866","CD2AP","Endothelial",1.160694393,"ENSG00000198087"
"29868","CD302","Endothelial",1.164707777,"ENSG00000241399"
"29869","CD320","Endothelial",2.080496875,"ENSG00000167775"
"29870","CD34","Endothelial",5.620440701,"ENSG00000174059"
"29871","CD40","Endothelial",1.843591648,"ENSG00000101017"
"29872","CD55","Endothelial",1.955072383,"ENSG00000196352"
"29873","CD59","Endothelial",2.391275753,"ENSG00000085063"
"29874","CD63","Endothelial",1.490244671,"ENSG00000135404"
"29875","CD81","Endothelial",1.009816515,"ENSG00000110651"
"29876","CD82","Endothelial",2.261530176,"ENSG00000085117"
"29878","CD9","Endothelial",2.240157875,"ENSG00000010278"
"29879","CD93","Endothelial",5.150942872,"ENSG00000125810"
"29880","CD99","Endothelial",1.380878174,"ENSG00000002586"
"29886","CDC42EP2","Endothelial",1.276124031,"ENSG00000149798"
"29888","CDC42SE1","Endothelial",1.113386112,"ENSG00000197622"
"29890","CDH11","Endothelial",1.279047688,"ENSG00000140937"
"29891","CDH5","Endothelial",5.908413489,"ENSG00000179776"
"29892","CDH6","Endothelial",2.271599882,"ENSG00000113361"
"29893","CDK11B","Endothelial",1.026848584,"ENSG00000248333"
"29897","CDK5R1","Endothelial",-4.448739986,"ENSG00000176749"
"29898","CDK5RAP3","Endothelial",-2.033827066,"ENSG00000108465"
"29899","CDK6","Endothelial",-1.650046978,"ENSG00000105810"
"29901","CDKN1A","Endothelial",1.869018809,"ENSG00000124762"
"29902","CDKN1C","Endothelial",1.057562708,"ENSG00000129757"
"29903","CDKN2AIP","Endothelial",1.046520885,"ENSG00000168564"
"29904","CDR2","Endothelial",2.810686129,"ENSG00000140743"
"29906","CDYL","Endothelial",1.079343989,"ENSG00000153046"
"29909","CEBPD","Endothelial",1.699361717,"ENSG00000221869"
"29910","CELF2","Endothelial",-2.708536543,"ENSG00000048740"
"29911","CELSR2","Endothelial",-3.314981259,"ENSG00000143126"
"29912","CEP112","Endothelial",1.208588144,"ENSG00000154240"
"29913","CEP170","Endothelial",-1.449360641,"ENSG00000143702"
"29915","CEP290","Endothelial",-1.313522614,"ENSG00000198707"
"29917","CEP89","Endothelial",-2.627365515,"ENSG00000121289"
"29918","CERS2","Endothelial",1.41387094,"ENSG00000143418"
"29919","CETP","Endothelial",5.781323221,"ENSG00000087237"
"29920","CFH","Endothelial",3.449546438,"ENSG00000000971"
"29921","CFI","Endothelial",4.030320979,"ENSG00000205403"
"29922","CFLAR","Endothelial",1.811184747,"ENSG00000003402"
"29923","CGNL1","Endothelial",4.279017338,"ENSG00000128849"
"29924","CGRRF1","Endothelial",1.307766469,"ENSG00000100532"
"29925","CH17.472G23.4","Endothelial",-3.824878143,NA
"29930","CHD7","Endothelial",-1.79436708,"ENSG00000171316"
"29934","CHMP2A","Endothelial",1.514693711,"ENSG00000130724"
"29936","CHMP5","Endothelial",1.074727935,"ENSG00000086065"
"29939","CHST12","Endothelial",1.384240868,"ENSG00000136213"
"29940","CHST15","Endothelial",2.210457372,"ENSG00000182022"
"29941","CHST2","Endothelial",1.829568586,"ENSG00000175040"
"29942","CHST7","Endothelial",1.417908982,"ENSG00000147119"
"29945","CINP","Endothelial",1.700746667,"ENSG00000100865"
"29947","CKB","Endothelial",-4.08857116,"ENSG00000166165"
"29950","CLASP2","Endothelial",-1.841301614,"ENSG00000163539"
"29951","CLDN5","Endothelial",3.966048591,"ENSG00000184113"
"29953","CLEC14A","Endothelial",3.258943238,"ENSG00000176435"
"29954","CLEC2B","Endothelial",4.076511048,"ENSG00000110852"
"29955","CLEC3B","Endothelial",2.61545695,"ENSG00000163815"
"29956","CLIC1","Endothelial",2.226687591,"ENSG00000213719"
"29957","CLIC2","Endothelial",3.154646394,"ENSG00000155962"
"29958","CLIC4","Endothelial",1.042301386,"ENSG00000169504"
"29959","CLIC5","Endothelial",3.841687308,"ENSG00000112782"
"29965","CMTM6","Endothelial",1.159263223,"ENSG00000091317"
"29966","CMTM7","Endothelial",2.735715156,"ENSG00000153551"
"29975","CNR1","Endothelial",-4.338676725,"ENSG00000118432"
"29981","COBLL1","Endothelial",3.365796858,"ENSG00000082438"
"29982","COL11A1","Endothelial",-3.242458301,"ENSG00000060718"
"29983","COL15A1","Endothelial",3.317099627,"ENSG00000204291"
"29984","COL1A2","Endothelial",-1.598036831,"ENSG00000164692"
"29986","COL4A1","Endothelial",3.747257267,"ENSG00000187498"
"29987","COL4A2","Endothelial",2.323027834,"ENSG00000134871"
"29989","COLEC12","Endothelial",1.842352699,"ENSG00000158270"
"29990","COLGALT1","Endothelial",1.542914366,"ENSG00000130309"
"29998","COQ7","Endothelial",-1.072624514,"ENSG00000167186"
"30004","COX7A1","Endothelial",2.143400117,"ENSG00000161281"
"30005","CPD","Endothelial",2.036362043,"ENSG00000108582"
"30007","CPM","Endothelial",2.091567068,"ENSG00000135678"
"30008","CPNE2","Endothelial",1.352103419,"ENSG00000140848"
"30009","CPNE5","Endothelial",1.217341035,"ENSG00000124772"
"30011","CPT1A","Endothelial",1.920032943,"ENSG00000110090"
"30012","CREB3L2","Endothelial",1.274491506,"ENSG00000182158"
"30014","CREM","Endothelial",1.393541554,"ENSG00000095794"
"30015","CRIM1","Endothelial",1.741586408,"ENSG00000150938"
